月份,Y22-01,Y22-02,Y22-03,Y22-04,Y22-05,Y22-06,Y22-07,Y22-08,Y22-09,Y22-10,Y22-11,Y22-12,地城市,大区,小区,门店编码,渠道,有效值数量,有效值占比
华润凤凰北店,13275.2851,33026.3176,,4454.0095,6918.4091,5331.2387,5996.7229,8110.3877,7418.7503,9951.4238,5156.5592,6768.8922,珠海,南区,粤西区,HRWJ-0073,华润,12,1.0
华润前进店,,35300.767,,5243.3226,6799.7399,13476.8303,5584.0566,8862.1499,3057.2279,0.0,0.0,0.0,广州,南区,湖广区,HRWJ-0051,华润,9,0.75
华润南京应天西路购物广场,108123.902519882,5747.9355,40942.1462,11849.9132,8560.024,7912.2189,10574.4371,4280.4784,11503.9151,6119.3523,5974.4092,5902.8217,南京,东区,苏沪区,SUG-0049,苏果,12,1.0
华润南京江东南路店,14984.701,5364.5805,11837.6133,9667.8186,9628.443,,9944.0705,4264.8381,9287.1116,7372.4181,6101.9114,5057.4026,南京,东区,苏沪区,SUG-0002,苏果,12,1.0
华润南京苏果中山北路,21833.4647,11034.7237,17978.2017,18543.5921,17486.7148,8262.6006,13461.7944,8174.9235,12417.2135,11413.2948,10589.179,8771.904,南京,东区,苏沪区,SUG-0048,苏果,12,1.0
华润南京苏果亚东新城,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,26287.3018,24995.7961,19872.8341,南京,东区,苏沪区,SUG-0060,苏果,3,0.25
华润南京苏果光华路购物广场,29970.8471,17233.2292,18479.4211,16902.9089,9149.4539,9016.2711,16108.9685,6283.0842,11413.5504,8764.5967,6078.4973,6165.6137,南京,东区,苏沪区,SUG-00150,苏果,12,1.0
华润南京苏果大厂钻石,108123.902519882,,35914.4485,,11171.5197,10000.4985,17829.6746,99371.32054888587,20605.3243,119962.30877616093,88566.6787,12248.5192,南京,东区,苏沪区,SUG-0007,苏果,12,1.0
华润南京苏果将军大道,54846.0203,26702.6945,42608.4033,29738.5666,20651.8486,17711.0761,25093.105,14577.8705,25703.81,,101561.67951137872,16424.8739,南京,东区,苏沪区,SUG-0016,苏果,12,1.0
华润南京苏果文昌巷,108123.902519882,10674.5637,86312.7334,,10865.4211,6756.4957,12139.0406,8243.9396,13410.6668,10978.4835,9299.5753,7812.0989,南京,东区,苏沪区,SUG-0034,苏果,12,1.0
华润南京苏果文靖路,,11166.7121,24359.2006,16013.3814,14150.9499,,20452.6773,7469.8477,15668.3712,74401.382,10373.3718,12621.4144,南京,东区,苏沪区,SUG-0035,苏果,12,1.0
华润南京苏果春江新城,,8154.8499,25270.9144,14111.194,11799.5387,9607.5424,10179.5211,6152.2884,14857.373,9781.751,9365.0497,9064.5656,南京,东区,苏沪区,SUG-0006,苏果,12,1.0
华润南京苏果清凉门,,18081.9591,30784.0785,30928.7801,19259.7254,17091.2186,,13603.38,23679.002,19177.7975,12257.8843,17468.8122,南京,东区,苏沪区,SUG-0029,苏果,12,1.0
华润南京苏果金浦,51732.9418,26767.0096,51916.3569,39722.2724,24227.5971,20287.241,28312.0819,17628.6399,,25167.0701,21932.5288,17473.7841,南京,东区,苏沪区,SUG-0017,苏果,12,1.0
华润南京苏果黄金海岸,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,61457.8088,,,南京,东区,苏沪区,SUG-0012,苏果,3,0.25
华润南联店,16511.4737,62324.3413,139680.0102,8027.3183,21638.7402,10858.5487,,13485.8096,11853.2391,13162.3036,9758.8815,13261.0568,深圳,南区,粤赣区,HRWJ-0153,华润,12,1.0
华润台城店,0.0,0.0,0.0,7805.7469,13811.8807,8177.6175,14227.0121,28691.0787,14456.9268,20813.5445,13600.6823,16289.295,台山,南区,粤西区,HRWJ-0055,华润,9,0.75
华润吴中店,12752.2965,7939.0998,110823.7267,16998.7174,,4020.3709,3975.2044,8191.8654,5727.0552,4986.4239,7069.3705,,苏州,东区,苏沪区,SN-02795,华润,12,1.0
华润园区店,14970.847,15581.825,95780.0264,21274.7927,10485.3086,9066.6957,10151.0255,15070.7015,15312.0391,15230.6077,11514.7982,12149.7526,苏州,东区,苏沪区,HRWJ-0432,华润,12,1.0
华润坦洲店,14130.3571,29808.556,32164.9329,3582.6617,4457.2382,3582.4222,4882.7499,9181.5501,7064.4774,7208.4659,4591.8311,6288.5716,中山,南区,粤西区,HRWJ-0182,华润,12,1.0
华润坪山店,37786.9683,64069.6808,86578.4452,19693.8284,17553.8123,12825.0221,11380.869,24492.3199,18861.861,21914.8877,16383.3079,20288.0209,深圳,南区,粤赣区,HRWJ-N-00442,华润,12,1.0
华润夏园店,9735.3636,24809.3574,22057.6894,3605.5925,6616.6305,3299.9745,,5063.8244,5993.9005,9074.2606,3753.0558,4985.319,广州,南区,湖广区,HRWJ-0094,华润,12,1.0
华润天河公园店,18232.4706,53881.5932,45567.5212,,9851.9491,7836.7292,6459.8644,11614.1722,11895.1114,14859.5612,10387.8571,8881.9344,广州,南区,湖广区,HRWJ-0048,华润,12,1.0
华润天河北店,27929.219,56742.2674,,9438.5967,9058.0669,16596.6701,5864.8871,28103.2248,15266.3044,12185.1335,9587.4346,7041.1794,广州,南区,湖广区,HRWJ-0049,华润,12,1.0
华润太湖店,17262.0547,30938.2667,181347.4231,25518.0063,13643.91,10288.3734,9347.7537,15371.894,9769.6729,11050.1234,12045.7555,9935.8207,无锡,东区,苏沪区,SN-04507,华润,12,1.0
华润宁波鄞州店,17970.5408,16524.0414,100361.1247,12353.111,10809.4162,15691.7194,12024.2091,,14012.1252,18211.9093,11247.9124,11573.612,宁波,东区,浙江区,ZJ-01097,华润,12,1.0
华润宝安店,4592.4597,18625.7688,,10664.4763,2768.9084,1972.1055,1486.6379,3175.1888,3319.027,5747.4985,0.0,0.0,深圳,东区,湖北区,HRWJ-0041,华润,10,0.8333333333333334
华润客村店,,0.0,0.0,0.0,0.0,13726.4974,5982.022,9214.0796,10013.8327,11542.9175,7964.2964,7305.388,广州,南区,湖广区,HRWJ-0069,华润,7,0.5833333333333334
华润工业大道店,6594.7744,16979.4747,23345.04,4184.5462,5751.1453,3288.2003,3627.0053,4676.4269,22921.8555,,7559.9928,5825.1046,广州,南区,湖广区,HRWJ-0070,华润,12,1.0
华润开平店,26288.7019,94899.31835774095,150476.5249,4690.6608,9859.7023,7222.8839,,,9014.227,11126.9945,6566.9942,7121.3624,江门,南区,粤西区,HRWJ-0074,华润,12,1.0
华润德庆店,13850.7912,28411.204,19804.8899,3545.9468,5543.1369,3310.1154,4589.8409,,4792.108,8875.8826,5422.8948,7070.5813,肇庆,南区,粤西区,HRWJ-0309,华润,12,1.0
华润恩城店,25992.3725,94899.31835774095,94045.983,7630.0135,9115.0544,7531.0579,7089.2338,20040.6284,12344.3921,12573.8549,,,江门,南区,粤西区,HRWJ-0056,华润,12,1.0
华润惠州店,16403.6601,55194.1486,38917.869,4834.0086,5625.4283,2520.7092,5262.9262,8551.4676,8186.75,10335.597,6914.2649,7329.6744,惠州,南区,粤赣区,HRWJ-0034,华润,12,1.0
华润新塘店,27072.3181,,,3895.8192,5111.9819,4246.6752,,17343.2592,6931.4454,7192.0402,4503.1224,5277.2587,广州,南区,湖广区,HRWJ-0091,华润,12,1.0
华润春风店,20732.0507,43296.3908,80158.4682,9333.9064,13970.6542,9159.7931,10463.2278,15533.8421,13482.9313,14997.6529,10422.3226,10657.2783,深圳,南区,粤赣区,HRWJ-0035,华润,12,1.0
华润景德镇店,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24298.6726,16118.1592,17383.2225,景德镇,南区,粤赣区,HRWJ-0718,华润,3,0.25
华润杭州万象城OLE店,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10237.2319,15800.2004,10474.2037,13745.2293,杭州,东区,浙江区,HRWJ-N-00286,华润OLE,4,0.3333333333333333
华润江燕店,,30657.3872,57754.6092,8895.0198,11991.1497,7493.5747,6164.0288,22024.4266,9098.2223,12743.5935,7789.8733,,广州,南区,湖广区,HRWJ-0092,华润,12,1.0
华润湛新店,7250.8328,18752.5945,19751.5729,2912.3799,4477.6361,2899.7226,0.0,5092.093,5799.8851,6439.6674,6649.4323,0.0,湛江,东区,湖北区,HRWJ-0179,华润,10,0.8333333333333334
华润滨湖店,14043.6098,13316.2478,,10772.0352,7482.6854,6388.1099,7051.8945,13498.4353,6523.0696,6238.4728,7226.763,10031.4889,无锡,东区,苏沪区,SN-04492,华润,12,1.0
华润番禺奥园店,19307.7064,36479.4147,,11411.3741,12169.7197,10609.265,8982.2054,,14769.3208,14995.2472,9991.5588,12054.7833,广州,南区,湖广区,HRWJ-0191,华润,12,1.0
华润百色店,51446.1262,62185.9997,,28936.345,25715.6115,20994.901,14515.3177,30722.509,26619.2144,24361.6723,21400.6278,29688.9177,百色,南区,广西区,HRWJ-0186,华润,12,1.0
华润石岐店,19708.7053,55267.7687,43101.7266,,6713.9124,4107.0214,7104.132,10701.1755,8531.8724,12933.2335,6953.6144,6655.1431,中山,南区,粤西区,HRWJ-0045,华润,12,1.0
华润花都店,,69093.8548,71581.1396,9345.2933,12945.1236,,8441.1125,,31563.5338,,10796.1335,13646.6944,广州,南区,湖广区,HRWJ-0065,华润,12,1.0
华润苏州无锡马山店,11569.3913,13792.4583,,6919.1604,5847.6676,5387.1489,,11443.4158,0.0,0.0,0.0,0.0,无锡,东区,苏沪区,HR-0055,华润,8,0.6666666666666666
华润苏州阳澄湖西路店$HRWJ-0642,0.0,0.0,0.0,0.0,8152.4923,4890.9842,4823.1584,,5139.74,6119.419,0.0,0.0,苏州,东区,苏沪区,HRWJ-N-00131,华润,6,0.5
华润苏果万寿村社区,12933.5481,7770.7001,14627.5473,13860.788,9164.7691,7521.6195,10079.5026,,10409.6378,8152.6212,7022.4879,,南京,东区,苏沪区,RESEARCH-1625,苏果,12,1.0
华润苏果扬州汊河社区店,,4153.4279,9548.5056,9383.2577,6324.0264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,扬州,东区,苏沪区,SUG-00077,苏果,5,0.4166666666666667
华润苏果花园路购物广场,17307.4315,5844.1475,12726.3347,11204.4983,8853.1287,6504.9733,8270.4539,5249.9307,7918.8792,8323.2161,6681.2558,5212.8869,南京,东区,苏沪区,SUG-00149,苏果,12,1.0
华润苏果赣榆金海东路（新城吾悦）购物广场,21114.8985,15312.5181,18416.1385,21140.0077,13044.3638,10817.4446,13544.462,10030.2206,13065.0941,8786.2301,8921.2549,9227.2584,连云港,东区,苏沪区,HRSG-N-00271,苏果,12,1.0
华润苏果迈皋桥平价店,16996.9392,6827.6295,14694.8048,9298.0608,8962.9164,6712.4539,11944.5944,5406.8816,6744.7903,2943.4232,5936.9388,6788.5152,南京,东区,苏沪区,RESEARCH-1672,苏果,12,1.0
华润苏果金坛华城广场购物广场,19915.9339,10263.7459,18882.0454,,9674.6185,6704.6849,12643.9778,7397.7751,11189.3003,9088.3302,7268.6528,10170.2799,常州,东区,苏沪区,SUG-00076,苏果,12,1.0
华润荔湾店,53061.3873,94899.31835774095,127548.841,12434.3023,15582.2725,,12427.4282,46052.3376,45101.5507,27368.6561,11339.8816,16852.7543,广州,南区,湖广区,HRWJ-0047,华润,12,1.0
华润莲塘店,,48096.4231,81599.6999,8312.6253,11804.6477,6938.071,6235.9016,11664.1833,9801.3042,15888.4998,9070.9154,,深圳,南区,粤赣区,HRWJ-0126,华润,12,1.0
华润超市东阳店,11703.5717,6958.3998,67844.3551,7166.8508,7831.8539,6498.8483,5157.0783,7595.3341,7040.0463,8641.0589,9277.3295,14469.935,东阳,东区,浙江区,ZJ-00471,华润,12,1.0
